User_Id,Place_Id,Place_Ratings,timestamp
1,179,3,964982703
1,344,2,964981247
1,5,5,964982224
1,373,3,964983815
1,101,4,964982931
1,312,2,964982400
1,258,5,964980868
1,20,4,964982176
1,154,2,964984041
1,393,5,964984100
1,103,3,964983650
1,208,5,964981208
1,89,3,964980985
1,405,5,964981179
1,41,5,964980908
1,336,4,964981680
1,67,4,964982967
1,292,3,964982310
1,222,3,964981179
1,76,2,964982563
1,428,3,964980962
1,15,3,964982588
1,246,4,964981710
1,265,5,964982363
1,21,2,964980868
1,328,2,964981909
1,307,4,964982346
1,302,2,964981208
1,48,2,964984002
1,328,2,964981179
2,147,2,964982653
2,2,5,964984153
2,322,4,964982546
2,23,3,964982271
2,85,4,964983793
2,371,3,964982838
2,78,5,964982931
2,111,2,964982563
2,107,2,964982838
2,185,2,964981775
2,413,3,964982400
2,389,2,964982653
2,437,5,964984086
2,105,2,964980499
2,176,3,964982475
2,407,5,964981529
2,208,5,964982176
2,437,4,964983614
2,208,3,964983219
2,281,2,964981775
2,167,2,964982681
2,384,5,964982876
2,426,4,964982791
2,390,2,964982855
2,367,2,964982903
2,166,2,964982653
2,18,5,964982791
2,321,3,964981179
2,262,3,964982400
3,223,5,964980924
3,17,5,964981680
3,319,5,964981327
3,310,3,964982951
3,421,3,964984018
3,202,5,964983484
3,48,2,964981680
3,283,3,964982513
3,202,3,964981327
3,250,2,964981827
3,118,2,964981872
3,54,2,964981827
3,70,3,964983737
3,33,4,964983250
3,227,2,964980499
3,86,4,964982951
3,105,5,964981855
3,249,3,964983393
3,131,4,964981909
3,382,2,964981909
3,193,2,964984018
3,176,2,964983618
3,104,3,964983723
3,24,4,964981442
3,128,5,964983414
3,134,3,964983599
3,228,3,964983705
3,237,3,964982290
3,100,4,964983414
3,198,5,964982703
4,50,2,964981909
4,376,2,964984086
4,268,4,964983393
4,242,4,964982653
4,82,3,964983017
4,348,5,964982310
4,409,3,964984112
4,88,3,964980875
4,4,4,964980985
4,377,3,964981107
4,43,5,964982620
4,15,4,964982290
4,91,3,964981125
4,193,5,964982346
4,312,3,964982951
4,44,2,964983056
4,14,5,964983504
4,406,3,964983536
4,383,2,964982620
4,229,2,964981125
4,290,3,964981230
4,5,5,964981404
4,294,5,964983034
4,309,5,964983056
4,74,2,964981780
4,97,2,964981497
5,421,4,964982176
5,138,2,964981710
5,436,5,964982211
5,395,2,964981710
5,300,4,964984176
5,321,3,964980523
5,68,5,964981888
5,55,5,964982903
5,434,4,964982563
5,9,5,964982791
5,166,3,964981747
5,151,5,964982400
5,4,3,964982838
5,61,3,964982838
5,321,3,964981710
5,159,2,964982653
5,397,5,964982838
5,391,2,964982588
5,407,3,964981725
5,301,2,964982529
5,143,4,964982876
5,27,2,964982791
5,283,4,964982791
5,190,2,964982838
5,346,4,964981725
5,67,4,964981710
5,381,3,964981680
5,368,3,964981710
5,433,4,964981775
5,301,2,964982989
5,420,3,964982310
5,335,3,964983664
5,115,3,964983263
6,433,4,964983546
6,334,2,964983861
6,348,2,964982462
6,219,2,964983123
6,178,3,964983094
6,266,3,964981093
6,92,2,964982310
6,64,5,964982513
6,102,4,964982242
6,166,5,964982620
6,257,2,964983414
6,243,5,964982588
6,346,5,964984169
6,116,5,965719662
6,359,2,964981278
6,121,4,964982328
6,385,4,964982242
6,398,5,964981265
6,64,5,964981888
6,88,5,964983000
6,119,2,964981144
6,393,2,964983080
6,4,4,964982588
6,298,3,964980523
6,410,2,964982377
6,224,5,964982620
6,379,4,964983393
6,382,2,964983414
7,255,5,964983393
7,269,3,964983426
7,213,3,964981855
7,228,3,964980985
7,126,5,964983414
7,192,5,964982703
7,376,4,964981710
7,183,5,964980523
7,129,4,964980868
7,303,4,964981680
7,296,3,964982703
7,213,3,964982290
7,237,5,964981872
7,99,4,964982176
7,88,4,964982191
7,148,3,964981888
7,13,2,964983282
7,377,5,964983034
7,183,4,964982495
7,247,4,964982271
